Age_Categories,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
Over 51,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,No priority to vehicle,2
31-50,Male,Junior high school,Owner,5-10yr,,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Moving Backward,2
31-50,Male,Elementary school,Employee,Below 1yr,,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Getting off the vehicle improperly,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1
31-50,Male,High school,Employee,Above 10yr,other,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
Under 18,Male,High school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
Under 18,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the right,2
,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,2
18-30,Male,Elementary school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Changing lane to the left,2
18-30,Male,Junior high school,Employee,5-10yr,One way,No junction,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
Over 51,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,1
18-30,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1
18-30,Male,High school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Other,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2
18-30,Male,,Owner,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
,Female,Writing & reading,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
18-30,Male,Above high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to vehicle,2
31-50,Male,High school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
18-30,Male,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Moving Backward,2
Over 51,Male,Junior high school,Employee,Above 10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
31-50,Male,Junior high school,Owner,Above 10yr,Undivided Two way,Y Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2
31-50,Male,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2
,Female,Junior high school,Employee,No Licence,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
,Male,Junior high school,Employee,1-2yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,,Not a Pedestrian,Changing lane to the right,2
,Male,Illiterate,Owner,1-2yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving to the left,2
,Male,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,2
,Male,Junior high school,Owner,1-2yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight, or other,No priority to vehicle,2
,Female,Junior high school,Owner,2-5yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
18-30,Male,,Owner,5-10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,,Not a Pedestrian,Driving carelessly,2
Over 51,Male,,Owner,Above 10yr,other,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,2
31-50,Male,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
31-50,Male,Elementary school,Owner,Above 10yr,Undivided Two way,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
,Male,Writing & reading,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
,Male,,Owner,,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving to the left,1
Under 18,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,1
18-30,Male,Junior high school,Owner,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
18-30,Male,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the right,2
31-50,Male,Elementary school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,1
31-50,Male,Junior high school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,1
,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,1
18-30,Male,Junior high school,Employee,Above 10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,1
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,1
,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Driving carelessly,2
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Other,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2
31-50,Male,Elementary school,Owner,,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Overtaking,2
Over 51,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
31-50,Male,Junior high school,Employee,Below 1yr,Double carriageway (median),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
,Male,,,,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No priority to vehicle,2
18-30,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,No priority to vehicle,2
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,No distancing,2
,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Turnover,Not a Pedestrian,Moving Backward,2
Under 18,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Moving Backward,Not a Pedestrian,No distancing,2
Under 18,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the left,2
Under 18,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Moving Backward,Not a Pedestrian,Changing lane to the left,2
,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to pedestrian,2
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with animals,,Not a Pedestrian,Moving Backward,2
,Female,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the left,2
Over 51,Male,Junior high school,Employee,Below 1yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,,Not a Pedestrian,No distancing,2
18-30,Male,Junior high school,Employee,Below 1yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to vehicle,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,,Not a Pedestrian,Changing lane to the right,2
18-30,Male,Elementary school,Employee,Below 1yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No distancing,2
Over 51,Male,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No distancing,2
Under 18,Male,Junior high school,Employee,,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Other,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2
18-30,Male,,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No priority to pedestrian,2
18-30,Male,Writing & reading,Employee,Below 1yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the left,2
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Other,Earth roads,Daylight,Normal,Rollover,Other, or other,No distancing,2
31-50,Male,Junior high school,Employee,1-2yr,other,Other,Asphalt roads,Daylight,Normal,Collision with animals,Other,Not a Pedestrian,Driving carelessly,2
31-50,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Other,,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No distancing,2
18-30,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,2
Over 51,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Fall from vehicles,Getting off,Not a Pedestrian,Overtaking,2
,Male,High school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Driving carelessly,2
,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Moving Backward,2
,Male,Above high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No distancing,2
,Female,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Overtaking,2
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Driving carelessly,2
31-50,Male,High school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Fall from vehicles,Getting off,Not a Pedestrian,Driving carelessly,2
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),T Shape,Asphalt roads,Daylight,Raining,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Moving Backward,2
31-50,Male,Junior high school,Employee,Below 1yr,,No junction,Gravel roads,Daylight,Other,Collision with animals,Going straight,Not a Pedestrian,Driving carelessly,2
31-50,Male,Junior high school,Employee,Below 1yr,other,No junction,Asphalt roads,Daylight,Other,Collision with animals,Other,Not a Pedestrian,Driving to the left,2
31-50,Male,Elementary school,Employee,,other,No junction,Asphalt roads,Daylight,Other,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,2
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
18-30,Male,Junior high school,Employee,1-2yr,other,T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
18-30,Male,Elementary school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,1
18-30,Male,High school,Employee,1-2yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,1
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,Changing lane to the right,1
,Male,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,1
,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1
18-30,Male,Elementary school,Owner,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
31-50,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Other,Rollover,Going straight,Not a Pedestrian,Changing lane to the right,2
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2
,Male,Elementary school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2
Over 51,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving to the left,2
,Female,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1
18-30,Male,High school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2
18-30,Male,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Overtaking,2
18-30,Male,Elementary school,Employee,2-5yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Rollover,Moving Backward,Not a Pedestrian,Driving carelessly,2
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the left,2
31-50,Male,Junior high school,Employee,Below 1yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving under the influence of drugs,2
,Female,Junior high school,Employee,5-10yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2
,Female,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2
,Female,Elementary school,Employee,1-2yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
31-50,Male,Junior high school,Employee,,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Changing lane to the right,2
Over 51,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2
Under 18,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,2
,Male,,,,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Other,Collision with roadside objects,Reversing,Not a Pedestrian,Changing lane to the right,2
,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,No priority to vehicle,1
31-50,Male,Elementary school,Owner,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No distancing,1
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Turnover,2
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
Under 18,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1
Under 18,Male,Elementary school,Employee,1-2yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1
18-30,Male,Junior high school,Employee,,Undivided Two way,No junction,Earth roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
Over 51,Male,Elementary school,Employee,1-2yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
18-30,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
Under 18,Male,Above high school,Owner,1-2yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to pedestrian,2
,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to pedestrian,2
Under 18,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
18-30,Male,Elementary school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,Changing lane to the left,2
31-50,Male,High school,Owner,Below 1yr,One way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,2
,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,No distancing,2
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to vehicle,1
Over 51,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No distancing,1
,Female,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing,1
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
31-50,Male,Junior high school,Owner,Above 10yr,Undivided Two way,No junction,Asphalt roads with some distress,Darkness - lights lit,Raining,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,2
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2
,Female,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Overturning,2
31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Stopping,Not a Pedestrian,No priority to vehicle,2
,Male,Junior high school,Employee,1-2yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Moving Backward,2
31-50,Male,High school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving under the influence of drugs,2
31-50,Male,High school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Other,Not a Pedestrian,Moving Backward,2
18-30,Male,Elementary school,Employee,2-5yr,other,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overspeed,2
18-30,Male,High school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2
31-50,Male,Junior high school,Other,No Licence,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
31-50,Male,Junior high school,Employee,1-2yr,One way,No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2
31-50,Male,Junior high school,Owner,5-10yr,other,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
18-30,Male,Junior high school,Employee,1-2yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Overspeed,2
18-30,Male,Junior high school,Employee,Above 10yr,other,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2
,Female,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
Over 51,Male,Junior high school,Employee,1-2yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
Under 18,Male,High school,Employee,1-2yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,Changing lane to the right,2
,Female,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2
