"","Age_Categories","Sex_of_driver","Educational_level","Vehicle_driver_relation","Driving_experience","Lanes_or_Medians","Types_of_Junction","Road_surface_type","Light_conditions","Weather_conditions","Type_of_collision","Vehicle_movement","Pedestrian_movement","Cause_of_accident","Accident_severity"
"5849","18-30","Male","Elementary school","Other","Above 10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Getting off","Not a Pedestrian","Changing lane to the left",2
"5850","31-50","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"5851","18-30","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",1
"5852","31-50","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to pedestrian",1
"5853","18-30","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Getting off the vehicle improperly",1
"5854","18-30","Female","Junior high school","Employee","Above 10yr","Undivided Two way","Y Shape","Earth roads","Daylight","Raining","Vehicle with vehicle collision","Turnover","Not a Pedestrian","No distancing",2
"5855","18-30","Male","Junior high school","Employee","Below 1yr","Double carriageway (median)","Y Shape","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"5856","18-30","Male","Junior high school","Owner","2-5yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",1
"5857","18-30","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",1
"5858","18-30","Male","Writing & reading","Employee","2-5yr","other","No junction","Asphalt roads","Darkness - no lighting","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No priority to pedestrian",2
"5859","31-50","Male","Junior high school","Employee","2-5yr","Undivided Two way","No junction","Asphalt roads","Darkness - no lighting","Normal","Collision with roadside objects","Getting off","Not a Pedestrian","No priority to pedestrian",2
"5860","Under 18","Male","High school","Employee","2-5yr","Undivided Two way","No junction","Asphalt roads","Darkness - no lighting","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No priority to vehicle",2
"5861","Under 18","Male","Junior high school","Employee","1-2yr","Undivided Two way","No junction","Asphalt roads","Darkness - no lighting","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Driving carelessly",2
"5862","18-30","Male","High school","Employee","5-10yr","One way","No junction","Gravel roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"5863","31-50","Male","Elementary school","Employee","2-5yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"5864","31-50","Male","Junior high school","Employee","1-2yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with pedestrians","Going straight"," or other","Moving Backward",2
"5865","18-30","Male","Elementary school","Employee","1-2yr","Double carriageway (median)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"5866","18-30","Male","High school","Employee","No Licence","Two-way (divided with solid lines road marking)","No junction","Other","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving to the left",2
"5867","18-30","Female","Junior high school","Owner","5-10yr","other","Y Shape","Asphalt roads","Darkness - lights lit","Unknown","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving to the left",2
"5868","Under 18","Male","Junior high school","Employee","1-2yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Unknown","Vehicle with vehicle collision","Going straight"," or other","No priority to pedestrian",2
"5869","31-50","Male","Junior high school","Employee","2-5yr","other","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",1
"5870","18-30","Male","Junior high school","Employee","5-10yr","other","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Changing lane to the right",1
"5871","31-50","Male","Junior high school","Unknown","5-10yr","other","Other","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Driving carelessly",2
"5872","18-30","Male","Junior high school","Unknown","5-10yr","other","Other","Asphalt roads","Daylight","Normal","Collision with pedestrians","Turnover","Not a Pedestrian","No distancing",2
"5873","31-50","Male","Junior high school","Employee","2-5yr","One way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Getting off the vehicle improperly",2
"5874","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving under the influence of drugs",2
"5875","18-30","Male","Junior high school","Owner","Above 10yr","other","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Changing lane to the right",2
"5876","18-30","Male","Junior high school","Unknown","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"5877","18-30","Male","Elementary school","Owner","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Moving Backward",2
"5878","Over 51","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Turnover",2
"5879","Over 51","Male","Junior high school","Owner","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","Changing lane to the right",2
"5880","31-50","Male","Junior high school","Owner","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",1
"5881","31-50","Male","High school","Owner","Above 10yr","Undivided Two way","Y Shape","Gravel roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",1
"5882","31-50","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Daylight","Unknown","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",2
"5883","31-50","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Daylight","Unknown","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"5884","Over 51","Male","Elementary school","Owner","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Overturning",2
"5885","31-50","Male","Junior high school","Owner","Below 1yr","Two-way (divided with broken lines road marking)","Y Shape","Other","Daylight","Normal","Collision with roadside objects","Getting off","Not a Pedestrian","No distancing",2
"5886","18-30","Male","Junior high school","Owner","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Moving Backward"," or other","Driving carelessly",0
"5887","18-30","Male","Junior high school","Owner","2-5yr","Undivided Two way","No junction","Other","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"5888","18-30","Male","High school","Owner","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Collision with pedestrians","Turnover","Not a Pedestrian","Changing lane to the left",2
"5889","18-30","Male","Junior high school","Owner","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to pedestrian",2
"5890","31-50","Male","Junior high school","Owner","Below 1yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with pedestrians","Unknown","Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle","No distancing",2
"5891","18-30","Male","Elementary school","Owner","Above 10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"5892","Over 51","Male","Elementary school","Owner","Below 1yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Changing lane to the left",2
"5893","Over 51","Male","Junior high school","Owner","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"5894","18-30","Female","Junior high school","Owner","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"5895","18-30","Male","Junior high school","Owner","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","No distancing",2
"5896","18-30","Male","Junior high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Turnover","Not a Pedestrian","No distancing",2
"5897","31-50","Male","High school","Owner","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"5898","31-50","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Getting off","Not a Pedestrian","Changing lane to the left",2
"5899","31-50","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Getting off","Not a Pedestrian","Changing lane to the right",2
"5900","18-30","Male","Junior high school","Employee","5-10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight"," or other","Moving Backward",2
"5901","31-50","Male","Junior high school","Employee","Above 10yr","other","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Overtaking","Not a Pedestrian","Changing lane to the right",2
"5902","Over 51","Male","Junior high school","Employee","5-10yr","other","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","No distancing",2
"5903","31-50","Male","Junior high school","Employee","No Licence","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Overtaking",2
"5904","31-50","Male","Above high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Getting off","Not a Pedestrian","Other",2
"5905","18-30","Male","Elementary school","Employee","5-10yr","other","Crossing","Asphalt roads","Daylight","Normal","Rollover","Getting off","Not a Pedestrian","Other",2
"5906","31-50","Male","Elementary school","Employee","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside objects","Reversing","Not a Pedestrian","Changing lane to the right",2
"5907","31-50","Male","Junior high school","Employee","5-10yr","other","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","No priority to pedestrian",2
"5908","31-50","Male","High school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","No priority to vehicle",2
"5909","31-50","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Earth roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"5910","Over 51","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Changing lane to the left",1
"5911","18-30","Male","Writing & reading","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Collision with pedestrians","Going straight"," or other","Overtaking",2
"5912","18-30","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Crossing from driver's nearside","No distancing",2
"5913","18-30","Male","Junior high school","Employee","1-2yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","No priority to vehicle",2
"5914","18-30","Male","Writing & reading","Employee","Below 1yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Other","Collision with pedestrians","Going straight","Not a Pedestrian","Changing lane to the right",2
"5915","Over 51","Male","Elementary school","Employee","1-2yr","Double carriageway (median)","Crossing","Asphalt roads","Daylight","Other","Collision with pedestrians","Going straight","Not a Pedestrian","Changing lane to the left",2
"5916","18-30","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","No distancing",2
"5917","18-30","Male","Junior high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"5918","18-30","Male","Elementary school","Owner","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Getting off","Not a Pedestrian","No priority to pedestrian",2
"5919","18-30","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"5920","31-50","Male","Junior high school","Owner","Below 1yr","Undivided Two way","No junction","Gravel roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",2
"5921","31-50","Male","Writing & reading","Employee","5-10yr","other","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No distancing",2
"5922","Over 51","Male","Writing & reading","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Earth roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"5923","Under 18","Male","Junior high school","Employee","5-10yr","Double carriageway (median)","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","No distancing",2
"5924","18-30","Male","Junior high school","Employee","2-5yr","Double carriageway (median)","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Changing lane to the left",2
"5925","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"5926","31-50","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Earth roads","Daylight","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Moving Backward",2
"5927","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Rollover","Going straight","Not a Pedestrian","Changing lane to the right",2
"5928","18-30","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"5929","18-30","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Unknown","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",2
"5930","18-30","Male","Junior high school","Employee","Below 1yr","One way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"5931","18-30","Male","Junior high school","Owner","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Turnover","Not a Pedestrian","Driving carelessly",2
"5932","31-50","Male","Junior high school","Employee","2-5yr","other","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving under the influence of drugs",2
"5933","31-50","Male","Elementary school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Rollover","Other","Not a Pedestrian","No priority to pedestrian",2
"5934","Over 51","Male","Junior high school","Employee","2-5yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No priority to vehicle",1
"5935","Over 51","Male","Junior high school","Employee","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",1
"5936","31-50","Male","High school","Employee","Above 10yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",2
"5937","31-50","Male","High school","Employee","Above 10yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"5938","31-50","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","No priority to vehicle",2
"5939","18-30","Male","Elementary school","Employee","1-2yr","Double carriageway (median)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Changing lane to the right",2
"5940","31-50","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Changing lane to the left",2
"5941","31-50","Male","Junior high school","Employee","5-10yr","One way","No junction","Asphalt roads","Daylight","Other","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","No priority to vehicle",2
"5942","Under 18","Male","Junior high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Other","Vehicle with vehicle collision","Other","Not a Pedestrian","Driving carelessly",2
"5943","18-30","Female","Junior high school","Owner","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight"," or other","Moving Backward",2
"5944","18-30","Male","High school","Owner","Above 10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Raining","Collision with roadside objects","Unknown","Not a Pedestrian","No distancing",2
"5945","18-30","Male","Junior high school","Owner","Below 1yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Raining","Collision with roadside objects","Turnover","Not a Pedestrian","Changing lane to the left",2
"5946","31-50","Male","Writing & reading","Owner","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Getting off","Not a Pedestrian","Changing lane to the left",1
"5947","18-30","Male","Above high school","Employee","Above 10yr","Double carriageway (median)","Y Shape","Earth roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"5948","Under 18","Male","High school","Employee","Below 1yr","One way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"5949","31-50","Male","Junior high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"5950","18-30","Female","Junior high school","Employee","Above 10yr","Undivided Two way","No junction","Other","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","Changing lane to the left",2
"5951","Over 51","Male","Junior high school","Owner","Above 10yr","Two-way (divided with broken lines road marking)","T Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","No distancing",2
"5952","18-30","Male","Junior high school","Employee","Above 10yr","Undivided Two way","T Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Changing lane to the right",2
"5953","18-30","Male","Junior high school","Employee","No Licence","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Other"," or other","No distancing",1
"5954","Over 51","Male","Junior high school","Employee","1-2yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Crossing from driver's nearside","Driving to the left",1
"5955","Over 51","Male","Illiterate","Owner","1-2yr","One way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",1
"5956","Over 51","Male","Junior high school","Owner","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Other","Going straight","Not a Pedestrian","Overtaking",2
"5957","Over 51","Male","Junior high school","Owner","1-2yr","Double carriageway (median)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving under the influence of drugs",2
"5958","31-50","Male","Junior high school","Owner","2-5yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No priority to pedestrian",1
"5959","18-30","Male","Junior high school","Owner","5-10yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",1
"5960","18-30","Male","Junior high school","Owner","Above 10yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",1
"5961","31-50","Male","Junior high school","Owner","2-5yr","other","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"5962","31-50","Male","Elementary school","Owner","Above 10yr","Undivided Two way","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"5963","31-50","Male","Writing & reading","Owner","5-10yr","Undivided Two way","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Other","Not a Pedestrian","Driving under the influence of drugs",2
"5964","18-30","Male","Junior high school","Owner","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","No priority to vehicle",0
"5965","18-30","Male","Junior high school","Owner","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No priority to vehicle",0
"5966","18-30","Male","Junior high school","Owner","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Moving Backward","Not a Pedestrian","Changing lane to the left",0
"5967","18-30","Male","Junior high school","Owner","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",0
"5968","18-30","Male","Elementary school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Moving Backward"," or other","Changing lane to the right",0
"5969","18-30","Male","Junior high school","Employee","2-5yr","One way","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Unknown","Not a Pedestrian","Changing lane to the left",0
"5970","Under 18","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"5971","Under 18","Male","Junior high school","Employee","5-10yr","Undivided Two way","Y Shape","Gravel roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Getting off the vehicle improperly",2
"5972","31-50","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Overtaking",1
"5973","18-30","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",1
"5974","Over 51","Male","Elementary school","Employee","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Other","Not a Pedestrian","Driving under the influence of drugs",2
"5975","Over 51","Male","Junior high school","Employee","5-10yr","other","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"5976","18-30","Male","Junior high school","Employee","Above 10yr","One way","No junction","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Moving Backward",2
"5977","31-50","Male","Elementary school","Owner","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","No distancing",2
"5978","18-30","Male","Junior high school","Owner","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","No priority to vehicle",2
"5979","31-50","Male","Junior high school","Employee","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Overturning",2
"5980","18-30","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"5981","18-30","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Raining","Collision with roadside objects","Going straight","Not a Pedestrian","No distancing",2
"5982","18-30","Male","Junior high school","Employee","5-10yr","One way","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight"," or other","Moving Backward",2
"5983","18-30","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Other","Not a Pedestrian","No priority to vehicle",2
"5984","18-30","Male","Junior high school","Employee","Above 10yr","One way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"5985","31-50","Male","High school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Other","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight"," or other","No distancing",2
"5986","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Other","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle","No distancing",2
"5987","18-30","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Overtaking",1
"5988","18-30","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Driving under the influence of drugs",1
"5989","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Crossing","Gravel roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",1
